"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Saskatchewan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","F","1,020","570","590","660","565","490","480","465","490","530","480","635","705","605","575","565","635","745","730","725","..","..","940","1,045","890","1,435","1,915","1,535"
,"Less than 15 days 7","F","110","160","150","95","135","155","145","160","145","130","205","F","320","235","145","230","175","260","215","300","..","..","380","470","305","625","435","580"
,"15 to 29 days 7","F","70","75","55","70","F","65","95","110","60","120","F","F","110","50","100","60","130","105","125","80","..","..","85","110","170","205","315","310"
,"30 to 59 days 7","F","F","F","80","120","40","80","40","30","80","55","70","F","120","60","50","75","60","110","160","100","..","..","210","110","100","F","500","85"
,"60 to 89 days 7","F","120","60","70","65","F","45","F","35","F","F","20","F","30","F","45","30","85","105","60","45","..","..","F","F","95","65","F","150"
,"90 days or more 7","F","240","60","160","175","105","80","100","90","95","135","F","F","55","140","180","110","110","50","75","200","..","..","200","295","220","465","535","410"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","45"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","175","..","..","185","265","195","405","440","370"
"Occupations in education, law and social, community and government services  [4]","Duration of job vacancy, all durations 6 7","F","1,010","790","740","705","755","665","515","425","870","695","580","620","715","800","500","760","620","665","560","640","..","..","670","950","1,350","1,080","1,695","1,195"
,"Less than 15 days 7","F","420","405","205","280","380","195","175","165","235","285","215","370","290","365","185","180","265","295","305","345","..","..","315","345","670","295","360","405"
,"15 to 29 days 7","F","175","160","F","150","250","190","145","75","450","190","165","90","180","180","145","95","150","130","100","120","..","..","160","210","300","255","385","280"
,"30 to 59 days 7","F","F","70","120","70","20","155","65","85","F","140","60","30","F","115","55","380","100","65","45","45","..","..","F","F","F","245","280","170"
,"60 to 89 days 7","F","F","15","30","15","10","15","25","25","5","25","50","15","F","10","F","45","F","F","F","45","..","..","60","F","F","105","115","40"
,"90 days or more 7","F","F","F","15","30","F","25","25","20","10","F","F","30","F","35","45","20","15","20","F","80","..","..","85","175","240","175","550","295"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10","..","..","F","20","F","F","F","55"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","70","..","..","85","150","210","155","340","245"
"Occupations in art, culture, recreation and sport  [5]","Duration of job vacancy, all durations 6 7","F","195","100","70","F","215","135","135","145","215","155","140","x","x","x","x","160","x","x","280","245","..","..","155","215","310","320","280","205"
,"Less than 15 days 7","F","60","20","25","65","65","35","40","70","90","30","F","x","x","x","x","85","x","x","F","100","..","..","F","90","105","105","65","30"
,"15 to 29 days 7","F","F","30","F","F","F","25","F","F","F","30","25","x","x","x","x","F","x","x","40","F","..","..","F","55","F","135","F","20"
,"30 to 59 days 7","F","F","35","10","10","5","F","F","30","45","F","F","x","x","x","x","0","x","x","65","5","..","..","F","10","F","55","90","F"
,"60 to 89 days 7","F","F","F","0","0","F","0","F","25","F","35","F","x","x","x","x","F","x","x","5","F","..","..","0","F","F","15","5","F"
,"90 days or more 7","F","F","5","5","10","35","55","55","10","45","F","65","x","x","x","x","F","x","x","F","F","..","..","40","F","65","F","60","20"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","35","F","F","0","60","0"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","5","10","65","F","5","20"
"Sales and service occupations  [6]","Duration of job vacancy, all durations 6 7","5,415","6,460","5,330","5,265","3,870","3,910","4,005","3,780","3,035","4,550","4,090","3,770","3,295","4,450","3,880","3,410","2,895","4,335","4,635","4,060","4,420","..","..","3,920","3,915","6,400","8,475","8,170","7,680"
,"Less than 15 days 7","1,385","1,490","1,475","950","1,120","1,180","1,050","860","905","1,845","1,745","1,185","975","1,765","985","820","1,010","1,610","1,290","1,255","1,715","..","..","1,350","1,385","2,140","1,725","1,535","2,115"
,"15 to 29 days 7","F","1,120","1,235","1,235","670","720","690","840","495","820","665","550","355","1,130","945","815","430","850","875","660","870","..","..","725","560","1,530","1,700","1,515","1,175"
,"30 to 59 days 7","F","890","590","F","430","365","455","515","480","560","375","380","475","495","440","485","275","480","810","495","395","..","..","550","615","790","1,705","1,380","1,390"
,"60 to 89 days 7","F","215","200","F","F","F","200","140","F","125","130","215","155","190","170","335","165","240","200","200","290","..","..","345","430","410","790","700","345"
,"90 days or more 7","F","535","475","430","315","440","355","360","240","320","160","365","295","235","340","240","270","285","335","495","1,155","..","..","945","930","1,535","2,555","3,040","2,655"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","260","..","..","F","F","F","355","340","355"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","895","..","..","735","755","1,225","2,205","2,700","2,305"
"Trades, transport and equipment operators and related occupations  [7]","Duration of job vacancy, all durations 6 7","2,585","2,655","1,810","1,450","975","1,205","1,270","995","1,290","2,135","1,845","1,795","1,685","2,355","2,305","1,735","1,730","2,285","1,980","1,850","1,910","..","..","1,535","1,805","3,550","3,620","2,775","3,710"
,"Less than 15 days 7","F","760","520","595","435","405","475","420","430","860","530","530","615","755","705","475","630","620","750","395","860","..","..","700","635","1,455","730","395","865"
,"15 to 29 days 7","F","420","335","230","170","255","225","210","225","360","350","315","270","300","415","310","265","590","300","215","305","..","..","275","370","745","660","625","830"
,"30 to 59 days 7","F","380","170","160","90","F","85","110","240","240","440","185","220","420","325","215","155","265","280","175","335","..","..","275","220","495","745","640","660"
,"60 to 89 days 7","F","105","F","F","F","55","F","40","30","F","90","F","F","135","150","F","100","155","45","120","165","..","..","40","F","450","445","160","270"
,"90 days or more 7","F","340","F","F","F","F","155","75","F","125","170","325","155","295","265","F","F","255","285","F","240","..","..","240","375","405","1,040","955","1,085"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","70","F","170","95"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","165","..","..","185","310","335","835","785","990"
"Natural resources, agriculture and related production occupations  [8]","Duration of job vacancy, all durations 6 7","F","760","485","265","820","845","620","300","765","795","465","530","875","680","600","485","560","810","450","665","980","..","..","630","890","1,030","1,245","715","1,035"
,"Less than 15 days 7","F","210","50","F","115","135","125","130","165","105","F","F","F","F","F","195","95","400","F","F","F","..","..","F","F","500","240","F","235"
,"15 to 29 days 7","F","F","F","35","125","145","F","F","145","F","100","F","F","F","100","F","F","F","25","F","F","..","..","F","F","F","330","145","250"
,"30 to 59 days 7","F","130","F","75","F","F","F","30","130","F","30","F","155","10","F","F","F","F","F","20","F","..","..","F","190","F","395","70","195"
,"60 to 89 days 7","F","F","F","5","F","175","0","15","5","F","F","0","15","F","F","15","F","F","5","F","F","..","..","F","F","F","F","F","F"
,"90 days or more 7","F","F","F","0","F","F","150","5","F","F","F","F","F","170","F","F","F","85","F","F","F","..","..","F","F","210","135","250","290"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","45","..","..","F","F","50","F","F","35"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","35","160","110","F","255"
